item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
practice,2,practice,practice,practice,practice,practice,practice,practice,Hochtrabend*daherkommend*erw&auml;hnte*der*Profi:,Ich*mutma&szlig;e*dass*die*Reparatur*trotz*der*fairen*Versicherung*teuer*ist. ,practice,practice1rel1.jpg,practice1rel2.jpg,practice1unrel1.jpg,practice1unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Hochtrabend daherkommend erw&auml;hnte der Profi:
practice,2,practice,practice,practice,practice,practice,practice,practice,Gut*gelaunt*sagte*die*Studentin:,Ich*schreibe*sp&auml;ter*meine*Hausaufgaben*in*der*Bibliothek.,practice,practice2rel1.jpg,practice2rel2.jpg,practice2unrel1.jpg,practice2unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Gut gelaunt sagte die Studentin:
practice,2,practice,practice,practice,practice,practice,practice,practice,Minimal*verunsichert*benannte*Anne:,Ich*ahne*dass*der*Fleck*trotz*der*starken*Reinigung*bleibt.,practice,practice2rel1.jpg,practice3rel2.jpg,practice3unrel1.jpg,practice3unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Minimal verunsichert benannte Anne:
78,50,filler,SocStat,2,high,high,match,no,Regsam*engagiert*renommiert*Lukas:,Ich*serviere*jetzt*meinen*Champagner*auf*der*Veranda.,b,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Kritiker beratschlagten sich
96,16,filler,WP2,10,low,low,match,no,Der*Vorstand*bem&auml;ngelte*im*Protokoll:,Der*Techniker*behelligte*den*Handwerker.*,j,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Vorstand bem&auml;ngelte im Protokoll:
83,3,filler,WP2,7,low,high,mismatch,yes,Der*Schuldirektor*begr&uuml;ndete*in*dem*Verweis:,Der*Sportlehrer*triezte*den*Wettl&auml;ufer.*,g,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Schuldirektor begr&uuml;ndete in dem Verweis:
5,5,critical,WP1,4,low,high,mismatch,yes,Stark*unter*Dampf*tr&ouml;tet*Moritz:,Ich*renoviere*sp&auml;ter*meine*Gem&auml;cher*in*dem*Plattenbau.,d,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Stark unter Dampf tr&ouml;tet Moritz:
94,14,filler,WP2,9,low,low,match,yes,Der*Hochwohlgeborene*verbreitete*anmutig:,Der*Bauer*proben*den*Helfer.*,i,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Hochwohlgeborene*verbreitete*anmutig:
15,15,critical,WP1,6,low,high,mismatch,no,Helle*gestrickt*t&ouml;nt*Robert:,Ich*spare*jetzt*mein*Essen*auf*dem*Konto.,f,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Helle*gestrickt*t&ouml;nt*Robert:
44,4,filler,SocStat,1,high,high,match,yes,Als*Justiziar*ben&ouml;tigt*man*eine*breite*Expertise,Ich*nehme*an*dass*das*Verfahren*wegen*der*harten*Anklage*aufgenommen*wurde.,a,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Als*Justiziar*ben&ouml;tigt*man*eine*breite*Expertise
17,17,critical,WP1,5,low,low,match,no,Pingelig*getrimmt*schwafelt*Tobias:,Ich*putze*gleich*mein*Vieh*mit*dem*Putzzeug.,e,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Pingelig*getrimmt*schwafelt*Tobias:
46,6,filler,SocStat,1,high,high,match,yes,Zu*sp&auml;t*kommen*als*Arzt*wird*nicht*gern*gesehen,Ich*denke*dass*der*Stau*wegen*der*engen*Baustelle*unendlich*ist.,a,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Zu*sp&auml;t*kommen*als*Arzt*wird*nicht*gern*gesehen
87,7,filler,WP2,8,low,high,mismatch,no,Der*St&uuml;mper*pl&auml;rrte*in*der*Spielh&ouml;lle:,Der*Bandenchef*verschaukeln*den*Raubm&ouml;rder.,h,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*St&uuml;mper*pl&auml;rrte*in*der*Spielh&ouml;lle:
72,43,filler,SocStat,2,high,high,match,no,Der*Elternbeirat*aus*Wiesbaden*trifft*sich*w&ouml;chentlich,Ich*denke*dass*das*Treffen*trotz*die*ernste*Diskussion*p&uuml;nktlich*endet.,b,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Elternbeirat*aus*Wiesbaden*trifft*sich*w&ouml;chentlich
7,7,critical,WP1,3,low,low,match,yes,Quietschfidel*gelaunt*twittert*Dennis:,Ich*fahre*jetzt*mein*Stahlross*durch*den*Kiez.,c,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Quietschfidel*gelaunt*twittert*Dennis:
1,1,critical,WP1,4,low,high,mismatch,yes,Sauber*zurechtgemacht*labert*Peter:,Ich*binde*gleich*meine*Schuhe*vor*dem*Zimmer.,d,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Sauber*zurechtgemacht*labert*Peter:
14,14,critical,WP1,6,low,high,mismatch,no,Astrein*hergerichtet*plappert*Maria:,Ich*lackiere*sp&auml;ter*meine*Butterbrote*bei*dem*Nagelstudio.,f,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Astrein*hergerichtet*plappert*Maria:
73,45,filler,SocStat,2,high,high,match,no,Eduard*versprach*seiner*Liebsten,Ich*sch&auml;tze*dass*das*Haus*trotz*die*nahe*Deponie*verkauft*ist.,b,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Eduard*versprach*seiner*Liebsten
91,11,filler,WP2,9,low,low,match,yes,Die*Kumpels*br&uuml;llten*in*der*Kneipe:,Der*B&auml;cker*musterte*den*H&auml;ndler.,i,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die*Kumpels*br&uuml;llten*in*der*Kneipe:
18,18,critical,WP1,5,low,low,match,no,Pingelig*getrimmt*schwafelt*Tobias:,Ich*f&uuml;ttere*gleich*mein*Klo*vor*dem*Speicher.,e,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Pingelig*getrimmt*schwafelt*Tobias:
3,3,critical,WP1,4,low,high,mismatch,yes,Schlampig*eingestellt*labert*Felix.,Ich*saniere*bald*meine*Wohnung*in*der*City.,d,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Schlampig*eingestellt*labert*Felix.
16,16,critical,WP1,5,low,low,match,no,Helle*gestrickt*t&ouml;nt*Robert:,Ich*koche*jetzt*mein*Moos*auf*dem*Herd.,e,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Helle*gestrickt*t&ouml;nt*Robert:
71,41,filler,SocStat,2,high,high,match,no,Sein*Enkel*macht*in*seiner*Heimatstadt*Wittenberg*Abitur,Ich*bin*sicher*dass*die*Note*trotz*die*knappe*Vorbereitung*erfreulich*ist.,b,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Sein*Enkel*macht*in*seiner*Heimatstadt*Wittenberg*Abitur
19,19,critical,WP1,5,low,low,match,no,Aktiv*mit*dabei*protzt*Lukas:,Ich*unterschreibe*jetzt*meinen*Schampus*Antrag*in*dem*Office.,e,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Aktiv*mit*dabei*protzt*Lukas:
85,5,filler,WP2,7,low,high,mismatch,yes,Der*Delegierte*&uuml;bersandte*die*amtliche*Botschaft:,Der*Bischof*tadelte*den*Herrscher.,g,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Delegierte*&uuml;bersandte*die*amtliche*Botschaft:
12,12,critical,WP1,6,low,high,mismatch,no,Patent*trainiert*verklickert*Daniel:,Ich*striegel*gleich*meine*Hosen*vor*dem*Stall.,f,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Patent*trainiert*verklickert*Daniel:
76,48,filler,SocStat,2,high,high,match,no,Der*Patient*versicherte*dem*Doktor,Ich*vermute*dass*der*Zahn*trotz*die*sanfte*Behandlung*oft*schmerzt.,b,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Patient*versicherte*dem*Doktor
95,15,filler,WP2,9,low,low,match,yes,Der*Offizier*verzeichnete*im*Register:,Der*Staatsdiener*verleumdete*den*Werksleiter.,i,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Offizier*verzeichnete*im*Register:
88,8,filler,WP2,8,low,high,mismatch,no,Die*Memme*beheulte*ihren*Struggle:,Der*Sporttaucher*fobbte*den*Brustschwimmer.,h,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die*Memme*beheulte*ihren*Struggle:
8,8,critical,WP1,3,low,low,match,yes,Quietschfidel*gelaunt*twittert*Dennis:,Ich*esse*jetzt*mein*Gr&uuml;nzeug*von*dem*Sp&auml;ti.,c,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Quietschfidel*gelaunt*twittert*Dennis:
97,17,filler,WP2,10,low,low,match,no,Die*G&ouml;re*beleierte*den*Schiri:,Der*Fechter*fighten*den*Gegner.,j,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die*G&ouml;re*beleierte*den*Schiri:
50,10,filler,SocStat,1,high,high,match,yes,Mein*Papa*ist*Schreiner,Ich*bef&uuml;rchte*dass*die*Sanierung*wegen*der*sch&ouml;nen*Umgebung*chancenlos*ist.,a,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Mein*Papa*ist*Schreiner
90,10,filler,WP2,8,low,high,mismatch,no,Der*Nichtsnutz*kr&auml;chzte*lauthals:,Der*Wagenlenker*herzte*den*Autoschlosser.,h,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Nichtsnutz*kr&auml;chzte*lauthals:
11,11,critical,WP1,6,low,high,mismatch,no,Patent*trainiert*verklickert*Daniel:,Ich*b&uuml;gel*gleich*meine*Pferde*auf*dem*B&uuml;gelbrett.,f,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Patent*trainiert*verklickert*Daniel:
92,12,filler,WP2,9,low,low,match,yes,Die*Gelehrte*bedauerte*in*ihrer*Weisheit:,Der*Obdachlose*verp&ouml;nen*den*Bastard.,i,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die*Gelehrte*bedauerte*in*ihrer*Weisheit:
43,3,filler,SocStat,1,high,high,match,yes,Herr*Kluge*bem&uuml;ht*sich*sehr*als*Politiker,Ich*nehme*an*dass*die*Absperrung*wegen*der*langen*Konferenz*bestehen*bleibt.,a,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Herr*Kluge*bem&uuml;ht*sich*sehr*als*Politiker
75,47,filler,SocStat,2,high,high,match,no,Die*Kleine*steckte*ihm*fix*die*Neuigkeit,Ich*behaupte*dass*der*Wettkampf*trotz*die*k&uuml;hle*Witterung*wieder*stattfindet.,b,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die*Kleine*steckte*ihm*fix*die*Neuigkeit
2,2,critical,WP1,4,low,high,mismatch,yes,Sauber*zurechtgemacht*labert*Peter:,Ich*falte*gleich*meine*Kleidung*auf*der*Couch.,d,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Sauber*zurechtgemacht*labert*Peter:
100,20,filler,WP2,10,low,low,match,no,Der*P&ouml;bel*gr&ouml;lte*in*den*Gassen:,Der*Kaiser*verw&ouml;hnte*den*Herzog.,j,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*P&ouml;bel*gr&ouml;lte*in*den*Gassen:
41,1,filler,SocStat,1,high,high,match,yes,Tante*Inga*schuftet*schwer*in*der*Imbissbude,Ich*merke*dass*die*Gegend*wegen*des*bunten*Festes*abgesperrt*ist.,a,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Tante*Inga*schuftet*schwer*in*der*Imbissbude
42,2,filler,SocStat,1,high,high,match,yes,J&uuml;rgen*spricht*gerne*&uuml;ber*seine*T&auml;tigkeit*auf*dem*Bau.,Ich*wei&szlig;*dass*der*Aufenthalt*wegen*der*schlechten*Lage*preiswert*ist.,a,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,J&uuml;rgen*spricht*gerne*&uuml;ber*seine*T&auml;tigkeit*auf*dem*Bau.
13,13,critical,WP1,6,low,high,mismatch,no,Astrein*hergerichtet*plappert*Maria:,Ich*schmiere*sp&auml;ter*meine*Fingern&auml;gel*in*der*Kochnische.,f,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Astrein*hergerichtet*plappert*Maria:
98,18,filler,WP2,10,low,low,match,no,Der*L&uuml;mmel*krakeelte*bei*seiner*Mutter:*,Der*Ausbilder*sponserte*den*Springreiter.,j,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*L&uuml;mmel*krakeelte*bei*seiner*Mutter:*
45,5,filler,SocStat,1,high,high,match,yes,Jans*Eltern*verlangen*als*Professoren*viel*von*ihrem*Sohn*ab.,Ich*denke*dass*die*Studie*wegen*des*groben*Versehens*abgesagt*ist.,a,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Jans*Eltern*verlangen*als*Professoren*viel*von*ihrem*Sohn*ab.
84,4,filler,WP2,7,low,high,mismatch,yes,Der*Kulturminister*artikulierte*im*Jahresbericht:,Der*F&ouml;rderer*kosen*den*Bildhauer.,g,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Kulturminister*artikulierte*im*Jahresbericht:
10,10,critical,WP1,3,low,low,match,yes,Massig*betucht*schwafelt*Paula:,Ich*rasiere*bald*meine*Stelzen*in*der*Dusche.,c,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Massig*betucht*schwafelt*Paula:
86,6,filler,WP2,8,low,high,mismatch,no,Der*B&uuml;rgermeister*proklamierte*im*Amtsblatt:,Der*Sheriff*&uuml;berlistete*den*Gauner.,h,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*B&uuml;rgermeister*proklamierte*im*Amtsblatt:
48,8,filler,SocStat,1,high,high,match,yes,Anna*arbeitet*mehr*als*5*Jahre*in*dem*Gesch&auml;ft.,Ich*meine*dass*das*Essen*wegen*des*scharfen*Gew&uuml;rzes*unvertr&auml;glich*ist.,a,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Anna*arbeitet*mehr*als*5*Jahre*in*dem*Gesch&auml;ft.
82,2,filler,WP2,7,low,high,mismatch,yes,Der*Gef&auml;ngnisvorstand*bezeugte*in*der*Anh&ouml;rung:,Der*Skinhead*vertrimmen*den*Str&auml;fling.,g,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Gef&auml;ngnisvorstand*bezeugte*in*der*Anh&ouml;rung:
9,9,critical,WP1,3,low,low,match,yes,Massig*betucht*schwafelt*Paula:,Ich*verschrotte*bald*meine*Karren*neben*der*M&uuml;llkippe.,c,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Massig*betucht*schwafelt*Paula:
74,46,filler,SocStat,2,high,high,match,no,Tim*mauschelte*uns*seine*Ideen*zu.,Ich*vermute*dass*die*Zeit*trotz*die*schrille*Musik*entspannend*ist.,b,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Tim*mauschelte*uns*seine*Ideen*zu.
77,49,filler,SocStat,2,high,high,match,no,Erika*munkelte*&uuml;ber*Ihre*Hoffnung.,Ich*hoffe*dass*das*Wetter*trotz*die*kalte*Prognose*angenehm*ist.,b,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Erika*munkelte*&uuml;ber*Ihre*Hoffnung.
89,9,filler,WP2,8,low,high,mismatch,no,Der*Lausbub*patzte*ins*Tagebuch:,Der*Reiseleiter*ersp&auml;hen*den*Abenteurer.,h,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Lausbub*patzte*ins*Tagebuch:
6,6,critical,WP1,3,low,low,match,yes,Stark*unter*Dampf*tr&ouml;tet*Moritz:,Ich*t&ouml;pfere*sp&auml;ter*meine*P&ouml;tte*in*dem*Studio.,c,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Stark*unter*Dampf*tr&ouml;tet*Moritz:
80,52,filler,SocStat,2,high,high,match,no,Intern*wurden*die*Informationen*weitergeleitet.,Ich*hoffe*dass*die*F&uuml;hrung*trotz*das*&uuml;ble*Ungl&uuml;ck*stattfinden*kann.,b,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Intern*wurden*die*Informationen*weitergeleitet.
81,1,filler,WP2,7,low,high,mismatch,yes,Der*Rausschmei&szlig;er*blaffte*zum*Jungen:,Der*Trinker*diffamierte*den*R&uuml;pel.,g,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Rausschmei&szlig;er*blaffte*zum*Jungen:
20,20,critical,WP1,5,low,low,match,no,Aktiv*mit*dabei*protzt*Lukas:,Ich*serviere*jetzt*meinen*Wisch*auf*dem*Terrasse.,e,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Aktiv*mit*dabei*protzt*Lukas:
49,9,filler,SocStat,1,high,high,match,yes,Ein*Streifenpolizist*braucht*eine*gute*Intuition.,Ich*bef&uuml;rchte*dass*die*Strecke*wegen*des*fr&uuml;hen*Rennens*umgeleitet*ist.,a,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Ein*Streifenpolizist*braucht*eine*gute*Intuition.
47,7,filler,SocStat,1,high,high,match,yes,Die*Feuerwehrfrau*l&ouml;scht*die*Br&auml;nde.,Ich*meine*dass*die*Unruhe*wegen*der*w&uuml;sten*Proteste*nachvollziehbar*ist.,a,Gemaecher-1.jpg,Kammern-2.jpg,Poette-1.jpg,Tassen-2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die*Feuerwehrfrau*l&ouml;scht*die*Br&auml;nde.
4,4,critical,WP1,4,low,high,mismatch,yes,Schlampig*eingestellt*labert*Felix.,Ich*pierce*bald*meine*Ohren*in*dem*Shoppingcenter.,d,Champagner-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Schlampig*eingestellt*labert*Felix.
99,19,filler,WP2,10,low,low,match,no,Der*Schw&auml;tzer*palaverte*ohne*Ende:,Der*Priester*indoktrinieren*den*Hausarzt.,j,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Schw&auml;tzer*palaverte*ohne*Ende:
93,13,filler,WP2,9,low,low,match,yes,Der*Gentleman*observierte*beim*Eintreten:,Der*Kneipenwirt*verm&ouml;belte*den*Meisterkoch.,i,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_related_1.jpg,Filler3_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Gentleman*observierte*beim*Eintreten:
